time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
95596,3157,58,6,2056,7622728,2472,5208,0,False
97476,3157,58,6,2056,5750384,1879,6329,0,False
100816,3157,58,7,2962,10360416,3339,5989,0,False
103246,3157,58,7,2962,7490040,2430,6559,0,False
106384,3157,58,7,2962,9724808,3138,6420,0,False
108833,3157,58,7,2962,7545488,2448,6972,0,False
112108,3157,58,7,2962,10156136,3275,6697,0,False
115042,3157,58,7,2962,9080296,2934,6763,0,False
117995,3157,58,7,2962,9139528,2953,6810,0,False
125668,647,245,7,2962,6473776,7672,3000,862,False
128473,647,245,2,477,1656768,2805,3194,0,False
130802,647,245,2,477,1348168,2328,3865,0,False
133334,647,245,2,477,1479632,2531,4333,0,False
135430,647,245,2,477,1197768,2096,5237,0,False
137945,647,245,2,477,1468296,2514,5723,0,False
140754,647,245,2,477,1659056,2809,5913,0,False
142752,647,245,2,477,1134400,1998,6915,0,False
145193,647,245,2,477,1420584,2440,7474,0,False
148918,2265,99,2,477,2654744,3725,6749,0,False
149156,2265,99,2,477,315104,238,9511,0,False
150009,2265,99,3,688,1707496,852,11658,0,False
151608,2265,99,4,991,3397696,1599,13059,0,False
153799,2265,99,5,1427,4736816,2190,13868,0,False
155769,2265,99,5,1427,4238096,1970,14898,0,False
158136,2265,99,6,2056,5137384,2367,15531,0,False
161023,2265,99,6,2056,6315576,2887,15644,0,False
163819,2265,99,6,2056,6108904,2796,15848,0,False
166598,2265,99,6,2056,6070176,2778,16069,0,False
169432,2265,99,6,2056,6194512,2833,16235,0,False
172389,2265,99,6,2056,6473976,2957,16278,0,False
175114,2265,99,6,2056,5947200,2724,16553,0,False
179621,634,112,6,2056,8431448,4506,15046,0,False
187896,634,112,6,2056,5175120,8274,9771,0,False
190855,634,112,3,688,1805288,2959,9812,0,False
194449,634,112,3,688,2207264,3593,9218,0,False
197432,634,112,3,688,1820232,2983,9235,0,False
200953,634,112,3,688,2161616,3521,8714,0,False
204591,634,112,3,688,2235648,3638,8076,0,False
207078,634,112,3,688,1505240,2486,8590,0,False
209679,1564,208,3,688,2518208,2601,8988,0,False
211102,1564,208,3,688,1899384,1422,10565,0,False
213050,1564,208,4,991,2721784,1948,11617,0,False
215285,1564,208,4,991,3170048,2234,12382,0,False
217687,1564,208,4,991,3431864,2402,12980,0,False
219954,1564,208,5,1427,3218944,2266,13714,0,False
222576,1564,208,5,1427,3776456,2622,14091,0,False
225939,1564,208,5,1427,4934440,3363,13728,0,False
228834,1564,208,5,1427,4202512,2895,13833,0,False
232153,1564,208,5,1427,4865952,3319,13514,0,False
234462,1564,208,5,1427,3285808,2308,14205,0,False
237680,1564,208,5,1427,4707024,3217,13987,0,False
239637,2489,207,5,1427,3630360,1956,15030,0,False
242434,2489,207,6,2056,6447976,2797,15233,0,False
244999,2489,207,6,2056,5868392,2564,15668,0,False
247849,2489,207,6,2056,6577016,2849,15818,0,False
251222,2489,207,6,2056,7880208,3373,15445,0,False
253912,2489,207,6,2056,6182408,2690,15755,0,False
255794,2489,207,6,2056,4166800,1881,16873,0,False
259247,2489,207,6,2056,8079928,3453,16420,0,False
261086,2489,207,6,2056,4062744,1839,17581,0,False
265720,2489,207,7,2962,11019384,4634,15947,0,False
269246,942,231,6,2056,7367864,3525,15421,0,False
273447,942,231,6,2056,3739928,4201,14220,0,False
279112,942,231,5,1427,5118392,5664,11555,0,False
281874,942,231,4,991,2384648,2762,11793,0,False
286009,942,231,4,991,3677328,4134,10658,0,False
289099,942,231,4,991,2692856,3089,10568,0,False
292001,942,231,4,991,2516328,2902,10666,0,False
295570,942,231,4,991,3144648,3569,10097,0,False
297780,942,231,3,688,1863760,2209,10887,0,False
300980,1255,98,4,991,3519928,3199,10687,0,False
303114,1255,98,4,991,2555472,2134,11553,0,False
306940,1255,98,4,991,4678680,3826,10727,0,False
308148,1255,98,4,991,1393736,1208,12519,0,False
311421,1255,98,5,1427,3984344,3272,12246,0,False
313759,1255,98,4,991,2810784,2337,12908,0,False
317403,1255,98,5,1427,4450624,3644,12264,0,False
320311,1255,98,4,991,3526528,2907,12356,0,False
322262,1255,98,4,991,2325792,1951,13405,0,False
328337,1255,98,5,1427,7501176,6075,10330,0,False
329182,3775,202,4,991,2228096,844,12485,0,False
330385,3775,202,5,1427,3781136,1203,14282,0,False
331335,3775,202,5,1427,2824152,950,16332,0,False
333647,3775,202,6,2056,7965376,2312,17020,0,False
336052,3775,202,7,2962,8315808,2404,17615,0,False
338250,3775,202,7,2962,7531840,2197,18418,0,False
340725,3775,202,7,2962,8581944,2475,18942,0,False
343466,3775,202,7,2962,9585304,2741,19201,0,False
345840,3775,202,7,2962,8200648,2374,19827,0,False
350068,3775,202,8,5027,15195272,4227,18599,0,False
352644,3775,202,7,2962,8962888,2576,19023,0,False
355170,3775,202,7,2962,8772784,2525,19497,0,False
357777,3775,202,7,2962,9081264,2607,19890,0,False
363603,2354,63,8,5027,14217216,5825,17064,0,False
367693,2354,63,7,2962,9479328,4089,15974,0,False
370612,2354,63,6,2056,6724472,2919,16055,0,False
373032,2354,63,6,2056,5547848,2419,16635,0,False
375545,2354,63,6,2056,5767064,2512,17122,0,False
379346,2354,63,7,2962,8800608,3801,16321,0,False
382062,2354,63,6,2056,6244736,2715,16605,0,False
384743,2354,63,6,2056,6160944,2680,16925,0,False
388554,2354,63,7,2962,8824080,3811,16113,0,False
390725,3157,58,6,2056,6611760,2170,16942,0,False
393482,3157,58,7,2962,8522120,2757,17185,0,False
396204,3157,58,7,2962,8411080,2722,17463,0,False
399100,3157,58,7,2962,8959592,2896,17567,0,False
402065,3157,58,7,2962,9175888,2964,17602,0,False
405773,3157,58,7,2962,11524200,3708,16894,0,False
407388,3157,58,6,2056,4914480,1614,18279,0,False
409993,3157,58,7,2962,8042640,2605,18674,0,False
413235,3157,58,7,2962,10050128,3241,18432,0,False
415712,3157,58,7,2962,7636592,2476,18955,0,False
418466,3157,58,7,2962,8511648,2754,19201,0,False
431717,647,245,7,2962,8900648,13251,8950,0,False
435355,647,245,3,688,2194960,3637,8312,0,False
438556,647,245,3,688,1912408,3200,8111,0,False
441307,647,245,3,688,1621424,2751,8360,0,False
